HIP	Vmag	RA	DE	Plx	pmRA	pmDE	e_Plx	B-V	V-I
 14415	 8.25	 46.52377186	-48.79616678	  14.44	  -57.41	  -95.62	  0.77	 0.511	 0.58
 14420	 9.77	 46.54545586	 51.10212607	  14.64	   45.29	 -107.26	  1.79	 0.795	 0.83
 14445	 9.07	 46.61045758	  1.96742325	  67.69	  389.59	 -925.46	  1.78	 1.358	 1.64
 14464	 8.09	 46.67388983	-13.31893063	  14.09	   75.10	  -36.64	  2.05	 0.488	 0.56
 14475	 9.24	 46.70335764	 -4.80848248	  17.57	   16.33	  -19.02	  1.52	 0.760	 0.80
 14478	 9.66	 46.71514731	 40.35978274	  36.71	 -383.85	 -194.11	  2.75	 1.190	 1.32
 14501	 6.97	 46.82741621	-13.76114966	  31.76	   -7.99	 -260.71	  0.91	 0.645	 0.71
 14515	 7.79	 46.86722441	-78.99240634	  15.02	   79.83	   89.31	  5.25	 0.441	 0.44
 14519	 9.07	 46.87938341	-74.50749916	  18.18	  -52.60	  -33.32	  0.87	 1.275	 0.67
 14527	 8.24	 46.89579201	-47.03935966	  17.86	    7.34	 -121.70	  0.80	 0.534	 0.61
 14530	 8.39	 46.90741456	-72.32186752	  23.21	   72.97	   -9.07	  0.76	 0.771	 0.81
 14532	 7.36	 46.91345143	 36.61815129	  23.44	  240.22	 -217.79	  0.86	 0.672	 0.73
 14548	 8.28	 46.96050549	 25.55218727	  16.22	   -8.31	  -99.52	  1.29	 0.574	 0.65
 14551	 6.18	 46.96168705	-27.83110110	  17.35	   65.72	  -20.57	  0.78	 0.166	 0.18
 14555	10.21	 46.98322257	-28.21943517	  52.38	 -339.14	 -119.54	  5.03	      	
 14568	10.23	 47.02695028	-24.75994464	  32.10	  303.36	  122.15	  1.78	 1.326	 1.54
 14576	 2.09	 47.04220716	 40.95565120	  35.14	    2.39	   -1.44	  0.90	-0.003	 0.02
 14587	 9.27	 47.09244910	-60.17287053	  46.54	  210.54	  132.45	  1.03	 1.207	 1.35
 14592	 6.64	 47.10679318	 57.01318092	  31.60	  129.59	 -107.40	  0.83	 0.637	 0.70
 14593	10.12	 47.10699186	-24.16718774	  28.42	  -16.70	 -170.33	  4.16	 1.340	 1.55
 14594	 8.04	 47.10718746	 26.33296054	  25.85	 -209.55	 -830.33	  1.14	 0.486	 0.56
 14596	 8.25	 47.11015968	-37.85252221	  19.22	  -25.68	  117.02	  0.78	 0.657	 0.72
 14609	 8.17	 47.16757228	-48.01641309	  13.68	   82.58	  -24.37	  0.80	 0.601	 0.67
 14611	 9.07	 47.17165038	-53.91846776	  15.53	  -63.20	 -168.17	  0.84	 0.633	 0.70
 14614	 7.85	 47.18443378	 15.33530084	  24.44	   68.85	 -194.89	  1.04	 0.642	 0.71
 14617	10.20	 47.20087862	-49.28447586	  15.89	  241.59	  -41.26	  1.19	 0.785	 0.83
 14619	 6.80	 47.20902306	-64.56545641	  15.23	   83.51	   79.50	  0.53	 0.343	 0.40
 14623	 7.29	 47.21791685	-24.88797952	  33.14	  225.91	  136.32	  0.87	 0.678	 0.74
 14632	 4.05	 47.26201363	 49.61350009	  94.93	 1262.29	  -91.53	  0.67	 0.595	 0.65
