l	fo
4916	0.82281119037
4917	0.80747339211
4918	0.78354520833
4919	0.77378963754
4920	0.77310423444
4921	0.7740485676
4922	0.77832091359
4923	0.78564711117
4924	0.79739035095
4925	0.8173812747
4926	0.83158435005
4927	0.84346467045
4928	0.85528406613
4929	0.85331162832
4930	0.83536929828
4931	0.82597927581
4932	0.81856930674
4933	0.81345163026
4934	0.80832633819
4935	0.80280503544
4936	0.80145707601
4937	0.80205109203
4938	0.80714592174
4939	0.81633793887
4940	0.83223929079
4941	0.84452323746
4942	0.85811706561
4943	0.86781932727
4944	0.87458958678
4945	0.8736604848
4946	0.88555603638
4947	0.90616382292
4948	0.92821095597
4949	0.95322816912
4950	0.97724773998
4951	1.01916394734
4952	1.07062248897
4953	1.13805853842
4954	1.21997182446
4955	1.34340530718
4956	1.36145425548
4957	1.31023179714
4958	1.23968097138
4959	1.13711420526
4960	0.98205317727
4961	0.90652937124
4962	0.87605178006
4963	0.84339613014
4964	0.82602496935
4965	0.81166196661
4966	0.80193685818
4967	0.79733704182
4968	0.79603477593
4969	0.80039089341
4970	0.80530294896
4971	0.81161627307
4972	0.8217983169
4973	0.82585742637
4974	0.82625343705
4975	0.82474555023
4976	0.82099106436
4977	0.8144873505
4978	0.80750385447
4979	0.79737511977
4980	0.78999561306
4981	0.78407068404
4982	0.77659217466
4983	0.78247902573
4984	0.80243187153
4985	0.81815806488
4986	0.83402133885
4987	0.85092794865
4988	0.8637602178
4989	0.87036293433
4990	0.88404814956
4991	0.90136600122
4992	0.92187478509
4993	0.94852935009
4994	0.97902978804
4995	1.01770175406
4996	1.04400600192
4997	1.11029209728
4998	1.2091272243
4999	1.32352861728
5000	1.51835064066
5001	1.85271311961
5002	2.10600002742
5003	2.31623600496
5004	2.57779344351
5005	2.50089883128
5006	2.02116997041
5007	1.68489597837
5008	1.38325768965
5009	1.09221268662
5010	0.92089237398
5011	0.8792960214
5012	0.82687029984
5013	0.79496859333
5014	0.78957675561
5015	0.78019434873
5016	0.78027050463
5017	0.78000395898
5018	0.78180885381
5019	0.78643913253
5020	0.78937113468
5021	0.7936206339
5022	0.79442027085
5023	0.79303423347
5024	0.78842680152
5025	0.7881374091
5026	0.78866288481
5027	0.79256206689
5028	0.80277457308
5029	0.80927067135
5030	0.81355824852
5031	0.81561445782
5032	0.81554591751
5033	0.81412941777
5034	0.80903458806
5035	0.80068790142
5036	0.78724638507
5037	0.77650078758
5038	0.76250333316
5039	0.75565691775
5040	0.75381394497
5041	0.756989646
5042	0.7651383273
5043	0.7863096675
5044	0.79542552873
5045	0.79823568144
5046	0.79291238403
5047	0.78914266698
5048	0.77944802091
5049	0.77736896484
5050	0.7795317924
5051	0.78736823451
5052	0.79189951056
5053	0.79653740487
5054	0.80068028583
5055	0.80448046524
5056	0.80803694577
5057	0.8106033996
5058	0.81306323517
5059	0.81315462225
5060	0.81259868418
5061	0.80841010968
5062	0.80105344974
5063	0.7869950706
5064	0.78033904494
5065	0.77790205614
5066	0.77651601876
5067	0.77676733323
5068	0.77977549128
5069	0.78068936208
5070	0.7800648837
5071	0.78087213624
5072	0.78247141014
5073	0.78613450893
5074	0.78576134502
5075	0.78426107379
5076	0.77889969843
5077	0.77032454409
5078	0.75693633687
5079	0.74753108322
5080	0.73757750709
5081	0.73191150813
5082	0.72929174517
5083	0.72900996834
5084	0.73571168754
5085	0.75506290173
5086	0.7611020646
5087	0.74948828985
5088	0.75103425462
5089	0.761559
5090	0.79056678231
5091	0.80227194414
5092	0.80730584913
5093	0.80513540598
5094	0.79584438618
5095	0.77635609137
5096	0.75922101387
5097	0.73100525292
5098	0.71963517705
5099	0.719673255
5100	0.73581069021
5101	0.74712745695
5102	0.76692799095
5103	0.77528229318
5104	0.77654648112
5105	0.76819979448
5106	0.76281557235
5107	0.75133887822
5108	0.74913797271
5109	0.75251929467
5110	0.76366851843
5111	0.76998184254
5112	0.77555645442
5113	0.78162607965
5114	0.78787847904
5115	0.79519706103
5116	0.79735988859
5117	0.79821283467
5118	0.79219651857
5119	0.77495482281
5120	0.76255664229
5121	0.75266399088
5122	0.74504840088
5123	0.74060089632
5124	0.7397784126
5125	0.74055520278
5126	0.74328919959
5127	0.74999853438
5128	0.7522679802
5129	0.74989953171
5130	0.75125510673
5131	0.75465165987
5132	0.76113252696
5133	0.76592273307
5134	0.77332508655
5135	0.77487866691
5136	0.77249498724
5137	0.7647575478
5138	0.75892400586
5139	0.75148357443
5140	0.74573380398
5141	0.74087505756
5142	0.73580307462
5143	0.73708249374
5144	0.74670098391
5145	0.74977006668
5146	0.75024984885
5147	0.74729499993
5148	0.74722645962
5149	0.74645728503
5150	0.74947305867
5151	0.75670786917
5152	0.76349335986
5153	0.7705453962
5154	0.77873215545
5155	0.78464946888
5156	0.78930259437
5157	0.79272960987
5158	0.79492289979
5159	0.79837276206
5160	0.79244783304
5161	0.77739181161
5162	0.76254141111
5163	0.74593942491
5164	0.72578095818
5165	0.7106107029
5166	0.69542521644
5167	0.6870023739
5168	0.68377336374
5169	0.6863931267
5170	0.69137372256
5171	0.70126637397
5172	0.71164642314
5173	0.72361051503
5174	0.73921485894
5175	0.74555102982
5176	0.74733307788
