z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.309731      7.874695      43.971800      -1.043416      2.587000      3.000000      0.706394      -1.916388      2.500181      232.41755360      -0.36213640      51989      0363      301
0.284466      7.843076      44.061700      -0.921896      2.615000      2.500000      0.715455      -1.391088      2.833738      187.09920700      0.24186860       51990      0289      504
0.078916      7.820020      43.414300      -1.546241      2.776000      0.500000      0.795815      1.338726       2.505738      187.30354930      0.81772250       51990      0289      535
0.181498      8.402018      43.692400      -1.850138      2.403000      1.500000      0.818124      -0.119826      2.486912      198.45828110      -1.95447960      51990      0340      513
0.255079      8.057017      44.042400      -1.155138      2.596000      2.000000      0.792101      -0.077099      2.499523      171.02137750      2.74438290       51992      0512      346
0.376439      8.433579      44.450000      -1.124100      2.693000      2.500000      0.678672      -2.031903      2.661125      171.30572750      2.82191170       51992      0512      397
0.206395      8.450958      43.812600      -1.778879      3.137000      2.500000      0.733815      -1.626694      2.581324      135.14669710      50.39481320      51992      0552      261
0.301952      8.278507      44.140600      -1.278428      2.604000      2.500000      0.815737      -1.359832      2.925943      211.38867550      2.96685580       51993      0532      414
0.140692      7.450766      43.293300      -1.297987      2.903000      1.500000      0.793725      0.673352       2.446620      115.35397800      33.93602420      51993      0542      289
0.177302      7.708679      44.146600      -0.702599      2.912000      3.000000      0.876577      -2.078564      2.536584      134.54653840      49.60275450      51993      0551      068
0.341776      8.373640      44.330700      -1.183460      2.956000      2.500000      0.742828      -1.434966      2.612211      133.51835310      50.47351400      51993      0551      171
0.284307      7.730476      44.345500      -0.525497      2.829000      3.000000      0.861340      -1.354668      2.610541      132.25743700      50.05289460      51993      0551      291
0.214453      7.465422      43.734200      -0.871742      2.511000      1.000000      0.794801      -0.133060      2.460167      133.69037070      50.56262550      51993      0551      478
0.168713      7.497468      43.743300      -0.894688      2.397000      1.000000      0.844039      -0.226917      2.504920      195.07528100      -0.90691770      51994      0293      055
0.375252      7.788322      44.117100      -0.811742      2.900000      3.000000      0.976522      -1.794793      2.735830      195.66486360      0.40464340       51994      0293      638
0.132409      8.324052      43.834200      -1.630372      2.564000      2.500000      0.855841      -2.205301      2.519987      224.13184780      -0.18726850      51994      0309      116
0.102724      7.690723      43.340000      -1.491244      2.490000      1.000000      0.768616      0.820898       2.613690      150.06568250      2.92932800       51994      0500      604
0.339037      9.167046      44.668300      -1.639266      2.197000      2.500000      0.648141      -0.160506      2.521161      150.11431030      2.99754320       51994      0500      612
0.264631      8.161389      44.081000      -1.220910      2.399000      2.000000      0.869179      -0.222329      2.584176      176.30608370      2.21976920       51994      0514      176
0.350596      8.153152      44.470200      -0.823473      2.500000      2.500000      0.978371      -1.958129      2.540276      176.36412590      3.29409360       51994      0514      459
0.269121      8.928862      44.216200      -1.853182      2.593000      0.500000      0.738986      -1.020646      2.866475      213.72730630      1.56624240       51994      0533      121
0.258041      7.490735      43.739500      -0.891756      2.757000      3.000000      0.711863      -0.800823      2.556945      226.28478130      1.28033870       51996      0540      301
0.295889      8.699492      44.464500      -1.375512      2.845000      2.500000      0.925666      -1.925088      2.703595      193.96888800      -2.89384180      51997      0337      030
0.210714      7.714478      43.889600      -0.965399      2.712000      3.500000      0.629174      -1.696036      0.176670      193.22785080      -2.82661840      51997      0337      176
0.047058      7.438563      43.134800      -1.444283      2.946000      1.500000      0.770152      0.679555       2.629806      192.67684980      -2.82540270      51997      0337      221
0.322429      7.991072      44.560300      -0.571293      3.084000      3.000000      0.748530      -1.384643      2.864953      259.09403600      55.20375010      51997      0367      277
0.269035      7.844230      43.990700      -0.994050      2.620000      2.500000      0.862873      -1.329467      2.617164      260.83620070      56.73026500      51997      0367      562
0.241697      8.051067      43.738200      -1.453387      2.123000      1.000000      0.961558      0.667553       2.589151      180.92424290      1.00193500       51999      0286      413
0.326127      8.573666      44.503200      -1.210986      2.793000      2.000000      0.904309      -2.047878      2.587480      153.92504630      2.04015600       51999      0503      309
0.218259      7.802704      44.096200      -0.847025      2.082000      1.500000      0.739834      -0.662242      2.524856      153.75937920      2.52446730       51999      0503      345
0.259866      7.999410      44.123800      -1.016131      2.723000      1.000000      0.838416      -0.102906      2.653768      154.27076510      3.10648690       51999      0503      377
0.114196      7.639338      43.303900      -1.475959      2.173000      1.500000      0.615074      1.034964       2.530398      217.59808150      1.13606810       51999      0535      219
0.310934      8.463327      44.224600      -1.379248      2.932000      2.000000      0.873361      -0.557625      2.711685      217.32385610      1.62070170       51999      0535      226
0.223641      8.124423      43.866600      -1.398344      1.937000      2.000000      0.669994      -0.926727      2.675731      218.93076510      2.44134320       51999      0535      630
0.267937      8.129841      44.104900      -1.165462      2.598000      2.500000      0.806644      -1.478965      2.582860      137.41854150      53.45197090      51999      0553      427
0.154180      7.894779      43.666900      -1.368399      2.350000      1.500000      0.529243      -0.103053      2.488749      184.61023660      -0.86700810      52000      0288      215
0.271188      7.668629      43.960500      -0.848650      2.271000      2.000000      0.842704      -1.004665      2.533335      185.29842210      0.94306240       52000      0288      540
0.216161      7.444182      43.764300      -0.820402      2.469000      1.000000      0.858805      -0.011560      2.521287      142.24536180      -0.35818620      52000      0474      075
0.303456      7.868640      44.180600      -0.828560      2.734000      2.000000      0.703836      -0.985561      2.708462      141.68996890      -0.18687020      52000      0474      152
0.200405      7.867974      43.784000      -1.224495      2.881000      2.500000      0.816780      -1.215591      2.506246      141.20955070      53.14460200      52000      0554      034
0.100876      7.635200      43.350100      -1.425621      2.342000      2.000000      0.855957      0.124600       2.461939      138.57804610      54.34247160      52000      0554      364
0.263167      8.021208      43.967700      -1.194028      2.531000      1.000000      0.724784      0.399171       2.628225      141.29848360      55.06420490      52000      0554      559
0.259472      8.143618      44.130500      -1.153639      2.873000      1.000000      0.717999      0.104679       2.605921      225.32720490      2.82423820       52017      0539      404
0.121549      7.499109      43.589100      -1.050530      2.656000      1.500000      0.835433      0.974347       2.495866      226.27788430      2.53666040       52017      0539      567
0.267955      7.530462      43.918200      -0.752783      2.367000      2.000000      0.865866      -2.458361      2.622718      118.01983190      36.41659500      52017      0543      120
0.148219      7.573693      43.954600      -0.759614      2.722000      2.500000      0.808767      -1.720758      2.639588      117.85921740      36.16370470      52017      0543      195
0.318927      7.907454      44.320500      -0.727474      2.941000      3.000000      0.763114      -2.124211      2.562001      119.04804030      38.02812570      52017      0543      545
0.121051      7.599906      43.696900      -1.043526      2.704000      2.500000      0.837263      -1.236941      2.429395      119.58815430      37.27673420      52017      0543      612
0.102777      8.496041      43.541100      -2.095462      2.713000      1.500000      0.740539      -0.099904      2.580768      161.64869960      1.86796830       52022      0506      033
0.177594      7.636532      43.603900      -1.173153      2.013000      1.000000      0.985380      -0.159235      2.526970      160.67446410      1.59678590       52022      0506      186
