Name1                RA          DEC       z       Morp     R50   IC     L_K     L_Age   O3Hb    N2Hb   Act  L_Ha  Sigma L5100  Bulge   MB       O/H     BMAG    
J145804.80-014712.7  224.52000  -01.78688  0.0410  EarlyS  10.4   3.13   10.94    9.23   0.117   0.105  AGN  6.46   146  43.17   9.77   10.94   -0.07   -19.05   
J074330.37+225549.8  115.87658  +22.93053  0.0242  EarlyS   9.9   2.45   10.69    8.72  -0.545  -0.357  SFG  7.17   104  42.33   9.25   10.68   +0.39   -18.38   
J084408.27+344302.0  131.03446  +34.71724  0.0141  LateS    9.2   1.87   10.67    9.54   0.081  -0.150  TO   5.21    90  41.99   8.88   10.68   -0.05   -18.79   
J101954.92+453259.1  154.97885  +45.54976  0.0023  LateS    0.9   1.95   10.01    9.04  -0.631  -0.362  SFG  5.11    89  40.59   8.09    8.72   +0.45   -13.88   
J102240.72+461419.2  155.66969  +46.23868  0.0169  LateS   11.1   2.03   10.39    9.32  -0.267  -0.221  TO   5.45    84  41.88   8.91   10.11   +0.19   -17.36     
J125244.49+591556.2  193.18538  +59.26562  0.0430  EarlyS  12.8   2.15   11.04    9.39  -0.626  -0.340  SFG  7.06   173  43.08   9.94   11.10   +0.44   -19.47     
J205222.37+000432.6  313.09324  +00.07573  0.0303  EarlyS  11.5   2.16   11.15    9.08  -0.638  -0.392  SFG  6.87   128  42.94   9.52   11.26   +0.45   -19.83   
J092217.59+044230.0  140.57331  +04.70833  0.0280  EarlyS   9.9   2.30   10.77    9.45   0.484   0.173  AGN  6.53   127  42.69   9.49   10.98   -0.32   -19.13   
J093438.63+055029.1  143.66100  +05.84144  0.0184  LateS    7.7   2.05   10.58    8.85  -0.535  -0.188  TO   6.76   115  42.32   9.22   10.19   +0.38   -17.55      
J105231.11+071329.6  163.12964  +07.22490  0.0218  EarlyS   6.5   2.19   10.83    8.44  -0.684  -0.452  SFG  6.99   103  42.68   9.20   11.14   +0.48   -19.54   
