PSO Pan-STARRS1    Identifier RAdeg    DECdeg     Period    PM
PSO J010.7491+41.7634 1175104 10.74907 41.76340   3.107671  0.000215
PSO J010.6514+41.5093 1198636 10.65141 41.50926   3.173320  0.000204
PSO J010.8298+41.5157 1200420 10.82983 41.51570   3.532512  0.000456
PSO J010.7025+41.5558 1211013 10.70251 41.55576   3.964785  0.000543
PSO J010.3583+41.4403 1234976 10.35830 41.44032   3.410697  0.015085
PSO J011.0187+40.9221 1451385 11.01874 40.92209   3.479215  0.000272
PSO J010.5114+40.7416 1579368 10.51143 40.74157   3.558327  0.000381
PSO J010.5262+40.7725 1585321 10.52619 40.77254   3.902905  0.000438
PSO J010.5150+40.7772 1586650 10.51497 40.77725   3.999558  0.000373
PSO J010.5043+40.7985 1592162 10.50428 40.79849   3.454870  0.000355
PSO J010.5543+40.8076 1594431 10.55432 40.80764   3.971003  0.000365
PSO J010.9589+41.1433  160291 10.95891 41.14333   3.123390  0.000299
PSO J010.5820+40.8454 1604628 10.58200 40.84544   3.679567  0.000346
PSO J010.5990+40.8633 1609431 10.59904 40.86329   3.029322  0.000223
PSO J010.5261+40.8928 1617464 10.52614 40.89280   3.649352  0.000562
PSO J010.7231+40.9857 1642544 10.72314 40.98567   3.217283  0.000286
PSO J010.7724+40.9955 1645225 10.77239 40.99553   3.121296  0.000228
PSO J010.7979+40.9979 1645912 10.79792 40.99795   3.265368  0.000377
PSO J010.6902+41.0108 1649456 10.69023 41.01078   3.282095  0.000290
PSO J010.7529+41.0230 1652838 10.75290 41.02295   3.707836  0.000310
PSO J010.7763+41.0606 1663283 10.77629 41.06057   3.703523  1.169630
PSO J010.7054+40.8867 1703143 10.70538 40.88672   3.330808  0.000236
PSO J010.6802+40.9052 1707761 10.68024 40.90519   3.513506  0.000159
PSO J010.1276+40.7682 1711977 10.12760 40.76820   3.558012  0.000459
PSO J010.1299+40.7797 1715584 10.12987 40.77974   3.264925  0.000263
PSO J010.0931+40.7914 1719566 10.09307 40.79142   3.552231  0.000355
PSO J010.0173+40.8003 1723071 10.01730 40.80033   3.220366  0.000335
PSO J010.1488+40.8172 1730392 10.14876 40.81718   3.242137  0.000484
PSO J009.9888+40.8212 1732674 09.98882 40.82124   3.552043  0.000369
PSO J010.1170+40.8237 1733276 10.11699 40.82368   3.783780  0.000283
PSO J010.1490+40.8385 1739691 10.14903 40.83853   3.827878  0.000730
PSO J010.0396+40.8446 1742485 10.03961 40.84458   3.277366  0.000289
PSO J010.1691+40.8734 1754022 10.16907 40.87342   3.542610  0.000627
PSO J010.0549+40.8998 1765192 10.05493 40.89978   3.035799  0.000220
PSO J010.1930+40.9247 1775430 10.19304 40.92470   3.951722  0.000381
PSO J010.0186+40.9487 1785425 10.01861 40.94867   3.070853  0.000193
PSO J010.1806+41.0019 1805967 10.18061 41.00189   3.086127  0.806775
PSO J009.9462+41.0041 1807528 09.94617 41.00411   3.284246  0.000376
PSO J009.9909+41.0134 1811069 09.99094 41.01341   3.653169  0.000356
PSO J010.1984+41.0175 1812062 10.19839 41.01745   3.698541  0.000792
PSO J010.0482+41.0261 1815637 10.04820 41.02609   3.431525  0.000231
PSO J010.2337+41.0312 1816993 10.23371 41.03118   3.173290  0.000434
PSO J009.9415+41.0446 1823140 09.94154 41.04465   3.551100  0.000384
PSO J010.2336+41.0619 1827986 10.23361 41.06191   3.306498  0.001075
PSO J010.0854+41.0688 1830357 10.08538 41.06878   3.399426  0.000493
PSO J010.2829+41.0865 1834161 10.28293 41.08649   3.544315  0.001508
PSO J010.9677+41.2370  185454 10.96772 41.23702   3.552013  0.000249
PSO J009.8451+40.8041 1864269 09.84508 40.80414   3.810397  0.000228
PSO J009.8843+40.8116 1866083 09.88428 40.81162   3.850078  0.000294
PSO J009.8617+40.8308 1870691 09.86173 40.83082   3.547940  0.000473
PSO J010.9845+41.2440  187357 10.98452 41.24404   3.699645  0.000271
PSO J009.8692+40.8488 1874854 09.86916 40.84882   3.329665  0.000509
PSO J009.7671+40.8657 1879142 09.76714 40.86567   3.524210  0.000502
PSO J009.8851+40.8867 1883812 09.88509 40.88672   3.128659  0.000283
PSO J011.0361+41.2581  191195 11.03609 41.25811   3.226318  0.000367
PSO J011.9812+41.9722 1983372 11.98116 41.97225   3.301568  0.000549
PSO J011.8431+42.0685 1996320 11.84315 42.06845   3.062798  0.000306
PSO J011.8516+42.0886 1999499 11.85157 42.08863   3.087994  0.000268
PSO J012.1165+42.1009 2001804 12.11648 42.10093   3.431583  0.000292
PSO J011.8879+42.1595 2010304 11.88794 42.15955   3.927768  0.000635
PSO J011.8488+42.1646 2010889 11.84880 42.16457   3.824613  0.000892
PSO J011.4911+41.8141 2019720 11.49110 41.81409   3.692350  0.000500
PSO J011.5591+41.8308 2023638 11.55906 41.83084   3.281881  0.000420
PSO J011.4534+41.8583 2032925 11.45336 41.85830   3.951212  0.000269
PSO J011.7899+41.8712 2039004 11.78995 41.87119   3.353149  0.000362
PSO J011.5055+41.8852 2043845 11.50549 41.88523   3.474449  0.000221
PSO J011.4482+41.8891 2045401 11.44816 41.88907   3.895068  0.000951
PSO J011.4626+41.8953 2048090 11.46260 41.89531   3.625812  0.000352
PSO J011.4387+41.9063 2052821 11.43870 41.90632   3.275213  0.000275
PSO J011.7398+41.9071 2053884 11.73978 41.90712   3.895595  0.000492
PSO J011.5330+41.9177 2057811 11.53302 41.91768   3.140699  0.000283
